,el_00,el_01,el_02,el_03,el_04,el_05,el_06,el_07,el_08,el_09,el_10,el_11,el_12,el_13,el_14,el_15,el_16,el_17,el_18,el_19,el_20,el_21,el_22,el_23,el_24,el_25,el_26,el_27,el_28,el_29,el_30,el_31,el_32,el_33,el_34,el_35,el_36,el_37,el_38,el_39,el_40,el_41,el_42,el_43,el_44,el_45,el_46,el_47,el_48,el_49,el_50,el_51,el_52,el_53,el_54,el_55,el_56,el_57,el_58,el_59,el_60,el_61,el_62,el_63,el_64,el_65,el_66,el_67,el_68,el_69,el_70,el_71,el_72,el_73,el_74,el_75,el_76,el_77,el_78,el_79,el_80,el_81,el_82,el_83,el_84,el_85,el_86,el_87,el_88,el_89,el_90,el_91,el_92,el_93,el_94,el_95,el_96,el_97,el_98,el_99,pa_00,pa_01,pa_02,pa_03,pa_04,pa_05,pa_06,pa_07,pa_08,pa_09,pa_10,pa_11,pa_12,pa_13,pa_14,pa_15,pa_16,pa_17,pa_18,pa_19,pa_20,pa_21,pa_22,pa_23,pa_24,pa_25,pa_26,pa_27,pa_28,pa_29,pa_30,pa_31,pa_32,pa_33,pa_34,pa_35,pa_36,pa_37,pa_38,pa_39,pa_40,pa_41,pa_42,pa_43,pa_44,pa_45,pa_46,pa_47,pa_48,pa_49,pa_50,pa_51,pa_52,pa_53,pa_54,pa_55,pa_56,pa_57,pa_58,pa_59,pa_60,pa_61,pa_62,pa_63,pa_64,pa_65,pa_66,pa_67,pa_68,pa_69,pa_70,pa_71,pa_72,pa_73,pa_74,pa_75,pa_76,pa_77,pa_78,pa_79,pa_80,pa_81,pa_82,pa_83,pa_84,pa_85,pa_86,pa_87,pa_88,pa_89,pa_90,pa_91,pa_92,pa_93,pa_94,pa_95,pa_96,pa_97,pa_98,pa_99,r_00,r_01,r_02,r_03,r_04,r_05,r_06,r_07,r_08,r_09,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19,r_20,r_21,r_22,r_23,r_24,r_25,r_26,r_27,r_28,r_29,r_30,r_31,r_32,r_33,r_34,r_35,r_36,r_37,r_38,r_39,r_40,r_41,r_42,r_43,r_44,r_45,r_46,r_47,r_48,r_49,r_50,r_51,r_52,r_53,r_54,r_55,r_56,r_57,r_58,r_59,r_60,r_61,r_62,r_63,r_64,r_65,r_66,r_67,r_68,r_69,r_70,r_71,r_72,r_73,r_74,r_75,r_76,r_77,r_78,r_79,r_80,r_81,r_82,r_83,r_84,r_85,r_86,r_87,r_88,r_89,r_90,r_91,r_92,r_93,r_94,r_95,r_96,r_97,r_98,r_99,lon_00,lon_01,lon_02,lon_03,lon_04,lon_05,lon_06,lon_07,lon_08,lon_09,lon_10,lon_11,lon_12,lon_13,lon_14,lon_15,lon_16,lon_17,lon_18,lon_19,lon_20,lon_21,lon_22,lon_23,lon_24,lon_25,lon_26,lon_27,lon_28,lon_29,lon_30,lon_31,lon_32,lon_33,lon_34,lon_35,lon_36,lon_37,lon_38,lon_39,lon_40,lon_41,lon_42,lon_43,lon_44,lon_45,lon_46,lon_47,lon_48,lon_49,lon_50,lon_51,lon_52,lon_53,lon_54,lon_55,lon_56,lon_57,lon_58,lon_59,lon_60,lon_61,lon_62,lon_63,lon_64,lon_65,lon_66,lon_67,lon_68,lon_69,lon_70,lon_71,lon_72,lon_73,lon_74,lon_75,lon_76,lon_77,lon_78,lon_79,lon_80,lon_81,lon_82,lon_83,lon_84,lon_85,lon_86,lon_87,lon_88,lon_89,lon_90,lon_91,lon_92,lon_93,lon_94,lon_95,lon_96,lon_97,lon_98,lon_99,time
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.5399000705
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.5640563206
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.5882125706
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.6123688207
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.6365250703
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.6606813204
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.6848375704
7,,,,,,,,,,,,,,,,9.336237076851576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.10731864185693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.760854470791278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456198.7089938205
8,8.769446053028483,,,,9.616688066851292,,,,,9.527712952029422,,,,9.68444506609626,,9.753793269489767,,,9.730309632267147,,,9.336234722631792,9.730309632267147,,9.616688066851292,9.730309632267147,,,,9.317203400210317,,,9.753793269489767,,,,,,9.753793269489767,,,,,,9.730309632267147,8.769446053028483,,,8.641156612243652,8.909150198517748,,,,,9.753793269489767,9.132445760902634,,,,9.276493035724895,,,,9.336234722631792,,9.336234722631792,,9.753793269489767,9.753632187438779,,,,9.336234722631792,,9.276493035724895,,,,,,9.753793269489767,,,,,,,9.336234722631792,,,,9.753793269489767,,,,9.276493035724895,,9.214699694155884,9.753793269489767,,91.21085460318787,,,,90.00568671125504,,,,,90.30333572557345,,,,89.70806483846641,,88.8009635936433,,,89.4090464367893,,,89.10718114087483,89.4090464367893,,90.00568671125504,89.4090464367893,,,,89.4090464367893,,,88.8009635936433,,,,,,88.8009635936433,,,,,,89.4090464367893,91.21085460318787,,,90.60243606889324,90.90443967863888,,,,,88.8009635936433,90.30333572557345,,,,89.70806483846641,,,,89.10718114087483,,89.10718114087483,,88.8009635936433,89.10718114087483,,,,89.10718114087483,,89.70806483846641,,,,,,88.8009635936433,,,,,,,89.10718114087483,,,,88.8009635936433,,,,89.70806483846641,,90.00568671125502,88.8009635936433,,33.75,,,,35.25,,,,,35.25,,,,35.25,,35.25,,,35.25,,,33.75,35.25,,35.25,35.25,,,,33.75,,,35.25,,,,,,35.25,,,,,,35.25,33.75,,,32.25,33.75,,,,,35.25,33.75,,,,33.75,,,,33.75,,33.75,,35.25,35.25,,,,33.75,,33.75,,,,,,35.25,,,,,,,33.75,,,,35.25,,,,33.75,,33.75,35.25,,0.4172427743048944,,,,0.6135923151542565,,,,,0.5645049299419159,,,,0.6626797003665971,,0.8099418560036186,,,0.7117670855789375,,,0.760854470791278,0.7117670855789375,,0.6135923151542565,0.7117670855789375,,,,0.7117670855789375,,,0.8099418560036186,,,,,,0.8099418560036186,,,,,,0.7117670855789375,0.4172427743048944,,,0.5154175447295755,0.4663301595172349,,,,,0.8099418560036186,0.5645049299419159,,,,0.6626797003665971,,,,0.760854470791278,,0.760854470791278,,0.8099418560036186,0.760854470791278,,,,0.760854470791278,,0.6626797003665971,,,,,,0.8099418560036186,,,,,,,0.760854470791278,,,,0.8099418560036186,,,,0.6626797003665971,,0.6135923151542565,0.8099418560036186,,2456198.7331500705
9,9.288845441388958,,,9.132408551503095,10.017683175795455,,,,,10.017683175795455,9.684422197838508,9.030330422800233,,10.170873584759088,,10.577898144553107,8.611883863887268,9.132408551503095,10.174717795535502,,,10.091665809944091,10.142964180321194,9.132408551503095,10.091665809944091,10.142964180321194,,,9.753799410564898,9.804593152111588,9.214670604965276,9.753799410564898,10.533738982454265,,9.336232374768807,9.527672850202558,9.317191746701635,9.276472466639737,10.174717795535502,,,9.418165896985487,,9.616656368677127,10.174717795535502,9.418165896985487,,,9.288845441388958,9.418165896985487,,,,9.336232374768807,10.174717795535502,9.616656368677127,9.288845441388958,9.336232374768807,,9.804593152111588,9.276472466639737,9.336232374768807,9.684422197838508,10.091665809944091,9.336232374768807,9.753799410564898,9.288845441388958,10.174717795535502,10.174717795535502,,,9.336232374768807,10.170873584759088,,9.730296016910264,9.140433361748977,9.317191746701635,,9.527672850202558,,10.174717795535502,,,9.616656368677127,9.132408551503095,,9.132408551503095,10.174717795535502,9.336232374768807,,,10.174717795535502,,9.336232374768807,9.336232374768807,9.730296016910264,,9.730296016910264,10.174717795535502,8.76938691611066,90.90483431797816,,,90.30355007440687,90.00581266142603,,,,,90.00581266142603,89.70810299092473,90.60273983510243,,89.10704387954532,,88.48848774567492,91.5238583272255,90.30355007440687,88.80073790862295,,,89.70810299092474,89.40899698616404,90.30355007440687,89.70810299092474,89.40899698616404,,,88.80073790862296,90.60273983510243,90.00581266142603,88.80073790862296,88.16858231780913,,89.1070438795453,90.30355007440687,89.40899698616404,89.70810299092474,88.80073790862295,,,90.60273983510243,,90.00581266142603,88.80073790862295,90.60273983510243,,,90.90483431797816,90.60273983510243,,,,89.1070438795453,88.80073790862295,90.00581266142603,90.90483431797816,89.1070438795453,,90.60273983510243,89.70810299092474,89.1070438795453,89.70810299092473,89.70810299092474,89.1070438795453,88.80073790862296,90.90483431797816,88.80073790862295,88.80073790862295,,,89.1070438795453,89.10704387954532,,89.40899698616404,91.21134203633714,89.40899698616404,,90.30355007440687,,88.80073790862295,,,90.00581266142603,90.30355007440687,,90.30355007440687,88.80073790862295,89.1070438795453,,,88.80073790862295,,89.1070438795453,89.1070438795453,89.40899698616404,,89.40899698616404,88.80073790862295,91.21134203633713,35.25,,,33.75,36.75,,,,,36.75,35.25,33.75,,36.75,,38.25,33.75,33.75,36.75,,,36.75,36.75,33.75,36.75,36.75,,,35.25,36.75,33.75,35.25,38.25,,33.75,35.25,33.75,33.75,36.75,,,35.25,,35.25,36.75,35.25,,,35.25,35.25,,,,33.75,36.75,35.25,35.25,33.75,,36.75,33.75,33.75,35.25,36.75,33.75,35.25,35.25,36.75,36.75,,,33.75,36.75,,35.25,35.25,33.75,,35.25,,36.75,,,35.25,33.75,,33.75,36.75,33.75,,,36.75,,33.75,33.75,35.25,,35.25,36.75,33.75,0.4663301595172349,,,0.5645049299419159,0.6135923151542565,,,,,0.6135923151542565,0.6626797003665971,0.5154175447295755,,0.760854470791278,,0.8590292412159591,0.36815538909255385,0.5645049299419159,0.8099418560036186,,,0.6626797003665971,0.7117670855789375,0.5645049299419159,0.6626797003665971,0.7117670855789375,,,0.8099418560036186,0.5154175447295755,0.6135923151542565,0.8099418560036186,0.9081166264282996,,0.760854470791278,0.5645049299419159,0.7117670855789375,0.6626797003665971,0.8099418560036186,,,0.5154175447295755,,0.6135923151542565,0.8099418560036186,0.5154175447295755,,,0.4663301595172349,0.5154175447295755,,,,0.760854470791278,0.8099418560036186,0.6135923151542565,0.4663301595172349,0.760854470791278,,0.5154175447295755,0.6626797003665971,0.760854470791278,0.6626797003665971,0.6626797003665971,0.760854470791278,0.8099418560036186,0.4663301595172349,0.8099418560036186,0.8099418560036186,,,0.760854470791278,0.760854470791278,,0.7117670855789375,0.4172427743048944,0.7117670855789375,,0.5645049299419159,,0.8099418560036186,,,0.6135923151542565,0.5645049299419159,,0.5645049299419159,0.8099418560036186,0.760854470791278,,,0.8099418560036186,,0.760854470791278,0.760854470791278,0.7117670855789375,,0.7117670855789375,0.8099418560036186,0.4172427743048944,2456198.7573063206
